Base,OrientacionH1,OrientacionH2,SignoV,SignoH1,SignoH2,AnguloH1,AnguloH2,EjeV,EjeH1,EjeH2,Norte,Oeste,LatEstacion,LonEstacion,Norte.1,Oeste.1,LatSismo,LonSismo,Fecha,Institucion,IDEstacion,HoraEpicentro,HoraPrimerMuestra,Profundidad,Mw,Mb,Ms,Mc,Ma,Me,Md,Ml,M,GMW,IDSismo
COYC1802.161,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.997788,100.089963,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,COYC,23:39:39,23:39:51.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
RABO1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.569078,98.445409,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,RABO,06:56:58,06:56:52.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
UNIO0903.271,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.98762,101.810623,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,UNIO,08:48:16,08:48:10.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
OXCU1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.048881,96.713269,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,OXCU,06:56:58,06:56:31.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
TNLP1511.231,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.095563,99.560805,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM,TNLP,20:41:20,20:41:10.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A
NITA0608.131,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.020738,102.085089,N,W,18.23,-103.62,2006-08-13,INSTITUTO DE INGENIERIA UNAM,NITA,15:14:26,15:14:33.000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.3,200608131514A
POZU1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.09008,99.59754,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,POZU,11:07:28,11:06:44.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
SJLL1802.1730,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.657822,98.498463,N,W,16.262,-98.105,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,SJLL,21:30:43,21:30:02.000,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.2,201802172130A
OCLL1308.211,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.036585,99.878515,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,OCLL,12:38:30,12:37:59.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
RABO1802.162,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.569078,98.445409,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,RABO,23:39:39,23:39:30.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
OCLL1605.081,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.036585,99.878515,N,W,16.25,-97.98,2016-05-08,INSTITUTO DE INGENIERIA UNAM ,OCLL,07:33:59,07:34:26.000,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201605080734A
SLU21308.211,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.280802,100.935496,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,SLU2,12:38:30,12:38:07.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
OXJM1802.171,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.445191,95.444705,N,W,16.072,-97.802,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,OXJM,03:54:42,03:55:10.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0
HUAM1802.162,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.031121,95.670297,N,W,16.218,-98.014,2018-02-16,INSTITUTO DE INGENIERIA UNAM ,HUAM,23:39:39,23:39:31.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
POZU9509.141,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,17.09008,99.59754,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,POZU,14:04:30.5,14:04:32.00,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
