,Base,Inicio,OrientacionH1,OrientacionH2,SignoV,SignoH1,SignoH2,AnguloH1,AnguloH2,EjeV,EjeH1,EjeH2,Norte,Oeste,LatEstacion,LonEstacion,Norte.1,Oeste.1,LatSismo,LonSismo,Fecha,Institucion,IDEstacion,HoraEpicentro,HoraPrimerMuestra,Profundidad_x,Mw_x,Mb,Ms,Mc,Ma,Me,Md,Ml,M,GMW,IDSismo,FECHA,HORA,LATITUD,LONGITUD,Mw_y,V1,V2,V3,V4,V5,V6,Angle1,Angle2,Profundidad_y,R,_merge,ET,rho
57,CANA0810.201,44,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,17.25,-102.09,2008-10-20,INSTITUTO DE INGENIERIA UNAM,CANA,05:00:52,05:00:57.000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.2,200810200501A,2008-10-20,05:01:04.6,17.46,-101.0,5.2,0.743,-0.538,-0.205,0.366,-0.129,0.215,95,87,29.3,146.2550262443386,both,2.557603680858137,-0.45896641729671944
58,CANA0903.271,56,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,CANA,08:48:16,08:48:03.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A,2009-03-27,08:48:16.9,17.4,-100.8,5.3,1.18,-1.23,0.048,0.196,-0.305,0.107,70,107,38.7,182.12129442760195,both,12.951159816659978,-0.44802385197930433
59,CANA1308.211,40,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,CANA,12:38:30,12:39:08.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A,2013-08-21,12:38:29.5,16.84,-99.53,6.2,1.48,-1.3,-0.182,1.38,-0.957,0.487,71,97,23.3,323.1702102667338,both,4.405719033173432,-3.734493176480226e-06
60,CANA1308.212,40,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,16.73,-99.7,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,CANA,13:02:18,13:02:56.000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,201308211302A,2013-08-21,13:02:19.5,16.93,-99.45,5.3,0.737,-0.607,-0.129,0.63,-0.329,0.212,82,93,29.0,315.78024461959654,both,0.4406624475817212,-0.41749733177307596
61,CANA1408.041,43,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,17.09,-100.84,2014-08-04,INSTITUTO DE INGENIERIA UNAM,CANA,00:21:49,00:21:52.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.1,201408040021A,2014-08-04,00:21:50.6,17.11,-100.82,5.1,4.19,-3.09,-1.1,2.05,-1.57,1.4,82,95,32.8,203.11049673227902,both,3.9220876483208342,-0.4449647901215226
62,CANA1708.181,45,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,-101.977162,N,W,16.853,-100.451,2017-08-18,INSTITUTO DE INGENIERIA UNAM ,CANA,05:15:12,05:15:32.000,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.4,201708180515A,2017-08-18,05:15:14.5,16.99,-100.3,5.4,1.63,-1.13,-0.499,0.411,-0.899,0.279,65,105,27.2,249.3840763696345,both,1.0006454866115322,-0.48797045257211424
86,COMD1104.261,46,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,COMD,11:07:28,11:07:26.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A,2011-04-26,11:07:27.0,16.85,-99.47,5.4,1.1,-0.911,-0.193,0.854,-0.629,0.293,72,98,22.9,179.66877021230363,both,9.303516980867949,-0.5448888249124894
87,COMD1308.211,62,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,COMD,12:38:30,12:38:11.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A,2013-08-21,12:38:29.5,16.84,-99.53,6.2,1.48,-1.3,-0.182,1.38,-0.957,0.487,71,97,23.3,179.512825599376,both,76.09013682655986,-0.6248237722259432
88,COMD1308.212,45,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,16.73,-99.7,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,COMD,13:02:18,13:02:14.000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,201308211302A,2013-08-21,13:02:19.5,16.93,-99.45,5.3,0.737,-0.607,-0.129,0.63,-0.329,0.212,82,93,29.0,177.2171046422249,both,7.103661289759449,-0.48110511392303285
89,COMD1310.062,45,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,16.81,-100.11,2013-10-06,INSTITUTO DE INGENIERIA UNAM ,COMD,15:10:56,15:10:48.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.1,201310061510A,2013-10-06,15:10:57.7,17.28,-99.89,5.1,4.08,-3.62,-0.466,2.41,-2.07,1.35,69,101,20.6,151.74919170433927,both,4.825957952791563,-5.9608609865491405e-06
90,COMD1405.081,60,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,17.11,-100.87,2014-05-08,INSTITUTO DE INGENIERIA UNAM,COMD,17:00:16,16:59:44.000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.5,201405081700A,2014-05-08,17:00:14.8,17.24,-100.75,6.5,4.24,-3.51,-0.731,3.87,-2.4,1.61,80,94,21.3,117.91436092587728,both,725.9593387453986,-0.1580774447182879
91,COMD1405.101,60,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,17.06,-100.95,2014-05-10,INSTITUTO DE INGENIERIA UNAM,COMD,07:36:01,07:35:29.000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,201405100736A,2014-05-10,07:36:01.2,17.22,-100.81,6.1,1.11,-0.947,-0.161,1.02,-0.624,0.374,77,95,20.7,125.97997846178944,both,183.40196797185305,-0.14447070141506957
92,COMD1408.041,58,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,17.09,-100.84,2014-08-04,INSTITUTO DE INGENIERIA UNAM,COMD,00:21:49,00:21:17.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.1,201408040021A,2014-08-04,00:21:50.6,17.11,-100.82,5.1,4.19,-3.09,-1.1,2.05,-1.57,1.4,82,95,32.8,119.083957962872,both,24.776867093822396,-3.679591050289161e-06
93,COMD1511.232,58,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.122359,-100.523804,N,W,16.86,-98.94,2015-11-23,INSTITUTO DE INGENIERIA UNAM ,COMD,20:41:20,20:41:16.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,201511232041A,2015-11-23,20:41:21.5,16.98,-98.91,5.6,2.63,-2.9,0.27,-1.36,1.13,0.008,57,111,36.6,218.65780609142098,both,24.443606925917205,-0.5716824189411703
